Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Deanna should n't drive to three grocery stores and Amelia 's brothers should n't drive to more messy grocery stores . <eos>	[4.991270065307617, 6.398883819580078, 2.866605758666992, 2.8384265899658203, 4.9632415771484375, 5.328122138977051, 6.102280616760254, 1.0294512510299683, 3.299560546875, 5.833904266357422, 5.231327056884766, 6.743771076202393, 4.635498046875, 4.774430274963379, 4.192178726196289, 4.711579322814941, 5.0157694816589355, 1.8081367015838623, 5.069250583648682, 0.47800254821777344, 2.492722272872925, 2.73381544957374e-07]	[2.9436397552490234, 7.530019283294678, 6.260588645935059, 7.998382568359375, 3.5168466567993164, 7.955680847167969, 10.78654956817627, 0.19810104370117188, 2.2847509384155273, 15.33182430267334, 1.5306692123413086, 8.356243133544922, 6.339116096496582, 3.986682891845703, 6.786176681518555, 3.3335704803466797, 7.385992050170898, 13.945127487182617, 7.497926712036133, 0.0777587890625, 0.7742595672607422, -0.0]	Deanna should n't drive to three orange grocery stores and Amelia 's brothers should n't drive to more messy . <eos>	[4.990182876586914, 6.396930694580078, 2.8685455322265625, 2.8407645225524902, 4.963740348815918, 5.329991340637207, 6.102042198181152, 5.7685041427612305, 2.303102493286133, 3.3992087841033936, 6.107985496520996, 5.696058750152588, 6.857746601104736, 4.404389381408691, 4.743589878082275, 4.110747337341309, 4.781972885131836, 5.086799144744873, 2.282480478286743, 5.153216361999512, 3.359544393788383e-07]	[2.9396066665649414, 7.526431560516357, 6.255637168884277, 7.995115280151367, 3.516580581665039, 7.955201148986816, 11.742071151733398, 9.72320556640625, 0.5251102447509766, 2.414073944091797, 14.552164077758789, 1.9528942108154297, 8.50305461883545, 6.537798881530762, 4.050445556640625, 7.000667572021484, 3.3750762939453125, 7.321773529052734, 13.563409805297852, 7.4233198165893555, -0.0]
That mountain scares three legislatures and a brother of the driver scares more important legislatures . <eos>	[4.9928693771362305, 4.966490745544434, 3.446092128753662, 3.203890800476074, 5.250186920166016, 3.521162509918213, 5.980223655700684, 6.900976181030273, 4.117582321166992, 4.5443830490112305, 6.14394474029541, 3.0624921321868896, 3.6826882362365723, 4.127701759338379, 5.955938339233398, 2.6672749519348145, 2.724694923017523e-07]	[6.273386001586914, 10.854040145874023, 13.376206398010254, 8.172250747680664, 14.48590087890625, 2.2526254653930664, 4.212165832519531, 7.506099700927734, 3.6488752365112305, 1.1375703811645508, 8.449438095092773, 12.817468643188477, 8.945577621459961, 10.088432312011719, 12.40284252166748, 1.0120372772216797, -0.0]	That mountain scares three good legislatures and a brother of the driver scares more important . <eos>	[4.991786003112793, 4.969159126281738, 3.445490598678589, 3.1998677253723145, 5.2506279945373535, 4.758618354797363, 3.28533935546875, 5.959189414978027, 6.945996284484863, 3.620044231414795, 4.7989373207092285, 6.376946449279785, 2.7729504108428955, 3.877213954925537, 4.58552360534668, 5.9538893699646, 2.831384620094468e-07]	[6.272706985473633, 10.849431991577148, 13.379405975341797, 8.172667503356934, 9.955533981323242, 14.483643531799316, 2.054999351501465, 3.64084529876709, 7.1781110763549805, 3.790553092956543, 1.2667436599731445, 8.221813201904297, 13.150026321411133, 8.81883716583252, 9.946723937988281, 2.929170608520508, -0.0]
Craig cleans one dish and this nephew of Robert cleans two big dish . <eos>	[4.994495391845703, 6.027116775512695, 5.230389595031738, 1.8721065521240234, 4.520029067993164, 5.817128658294678, 6.129598140716553, 5.493926525115967, 6.146506309509277, 5.921808242797852, 4.588932991027832, 5.531491279602051, 6.471421718597412, 5.708364486694336, 2.979106739076087e-07]	[9.726892471313477, 1.9785451889038086, 9.286019325256348, 13.427288055419922, 3.4074525833129883, 6.427599906921387, 13.316064834594727, 3.5907506942749023, 6.9072418212890625, 1.521317481994629, 10.890405654907227, 9.441152572631836, 7.439828872680664, 4.474184036254883, -0.0]	Craig cleans one smooth dish and this nephew of Robert cleans two big . <eos>	[4.987751007080078, 6.028693675994873, 5.228843688964844, 1.867872953414917, 6.268756866455078, 4.728089332580566, 6.571761608123779, 6.105888366699219, 5.616607666015625, 6.4073896408081055, 5.849674701690674, 4.853762149810791, 6.212338447570801, 6.469731330871582, 3.046043843824009e-07]	[9.724099159240723, 1.9798030853271484, 9.289497375488281, 12.841048240661621, 8.693425178527832, 2.9944725036621094, 6.552310943603516, 14.240849494934082, 3.08968448638916, 7.948174476623535, 1.4128637313842773, 11.034867286682129, 8.461034774780273, 5.40269660949707, -0.0]
Men admire one art gallery and Anne 's associates admire four black art gallery . <eos>	[4.99007511138916, 3.832383632659912, 5.341719627380371, 4.6699748039245605, 5.408547401428223, 3.5156710147857666, 4.329315662384033, 4.979270935058594, 6.536649703979492, 4.46672248840332, 4.198409080505371, 5.397031784057617, 5.5299072265625, 5.197564125061035, 5.277627944946289, 2.8658882911258843e-07]	[8.910890579223633, 10.090946197509766, 5.7853288650512695, 7.320204734802246, 5.125716209411621, 2.1616640090942383, 12.686563491821289, 1.3247308731079102, 10.520696640014648, 9.970376968383789, 8.90500259399414, 8.35573959350586, 4.994377136230469, 6.738101959228516, 4.050732612609863, -0.0]	Men admire one green art gallery and Anne 's associates admire four black . <eos>	[4.989189624786377, 3.8322222232818604, 5.3407979011535645, 4.667986869812012, 6.388028144836426, 5.596363067626953, 3.5125949382781982, 4.108959197998047, 4.737242698669434, 6.42917013168335, 4.404797077178955, 4.104811668395996, 5.664016246795654, 5.603006362915039, 2.854764034054824e-07]	[8.918779373168945, 10.090898513793945, 5.789196014404297, 9.338481903076172, 6.969596862792969, 5.3374481201171875, 2.155975341796875, 12.189742088317871, 1.2013654708862305, 11.691211700439453, 10.512397766113281, 8.882055282592773, 7.166455268859863, 5.907073974609375, -0.0]
Those glaciers can resemble three paintings and Suzanne can resemble at least as many small paintings . <eos>	[4.990111827850342, 5.723950386047363, 5.050544738769531, 3.3982763290405273, 5.02918815612793, 6.106834411621094, 3.5169179439544678, 5.563887119293213, 5.214095115661621, 4.5973100662231445, 4.581071853637695, 0.8052906394004822, 2.6005916595458984, 1.4176222085952759, 4.425479412078857, 5.473950386047363, 0.921700656414032, 3.054162789339898e-07]	[7.471683502197266, 11.917532920837402, 3.670050621032715, 8.252108573913574, 7.109949111938477, 7.975149154663086, 3.4770402908325195, 14.315741539001465, 7.2342610359191895, 7.948354721069336, 7.533671855926514, 0.12447357177734375, 6.465311050415039, 0.3533744812011719, 6.676103591918945, 5.6960906982421875, 3.432281494140625, -0.0]	Those glaciers can resemble three exposed paintings and Suzanne can resemble at least as many small . <eos>	[4.986981391906738, 5.727077960968018, 5.050664901733398, 3.4016685485839844, 5.029825210571289, 6.107762336730957, 5.7138519287109375, 3.220766067504883, 5.481404781341553, 5.056382179260254, 4.420251846313477, 4.486746788024902, 0.7913789749145508, 2.674084424972534, 1.4200866222381592, 4.315710067749023, 5.53739070892334, 3.0169076126185246e-07]	[7.470400810241699, 11.921661376953125, 3.6720924377441406, 8.252622604370117, 7.110369682312012, 10.421293258666992, 9.951213836669922, 3.1654415130615234, 14.794189453125, 6.458600044250488, 7.9814863204956055, 7.53449010848999, 0.12279319763183594, 6.080421447753906, 0.3425712585449219, 6.738451957702637, 7.030941963195801, -0.0]
Janet 's cousin was fleeing from one son of and that grandmother of Nancy was fleeing from a few hidden son of . <eos>	[4.988032341003418, 2.736048698425293, 7.149611949920654, 4.2488532066345215, 6.119154930114746, 3.8674356937408447, 3.6290974617004395, 1.3888828754425049, 3.2571327686309814, 4.076711654663086, 5.964321136474609, 5.313803195953369, 4.236992835998535, 5.210883140563965, 4.004802227020264, 5.6881890296936035, 3.3256237506866455, 3.219757318496704, 6.867068290710449, 5.587259292602539, 6.77003812789917, 4.586421966552734, 4.570100784301758, 2.889773895731196e-07]	[10.505269050598145, 4.103464126586914, 6.828970432281494, 3.4901418685913086, 13.521272659301758, 1.5455999374389648, 6.41707706451416, 10.687591552734375, 4.488156318664551, 9.867462158203125, 5.570646286010742, 10.728252410888672, 4.213536262512207, 7.886357307434082, 4.71317195892334, 8.9732027053833, 1.3575563430786133, 2.717100143432617, 7.620046615600586, 9.959228515625, 11.416389465332031, 4.201570510864258, 9.678298950195312, -0.0]	Janet 's cousin was fleeing from one hopeful son of and that grandmother of Nancy was fleeing from a few hidden . <eos>	[4.993182182312012, 2.728835344314575, 7.14647912979126, 4.249479293823242, 6.12430477142334, 3.8685879707336426, 3.629641532897949, 1.3895541429519653, 6.289682388305664, 3.427262306213379, 4.264691352844238, 6.56705904006958, 5.080738067626953, 4.358938217163086, 5.210412502288818, 4.280134677886963, 5.840706825256348, 3.450979232788086, 3.363469123840332, 6.876605033874512, 5.818540573120117, 6.661491394042969, 3.2078622780318256e-07]	[10.47848129272461, 4.108251571655273, 6.824253082275391, 3.4945621490478516, 13.511602401733398, 1.5462512969970703, 6.417294502258301, 14.265338897705078, 6.087712287902832, 2.483661651611328, 9.6424560546875, 4.331047058105469, 11.046845436096191, 4.9025983810424805, 7.4685773849487305, 3.2028236389160156, 8.928881645202637, 1.4226226806640625, 2.58017635345459, 7.499062538146973, 9.652360916137695, 5.728321075439453, -0.0]
Victoria cleans one rug and Liam cleans five exposed rug . <eos>	[4.991759300231934, 5.623502731323242, 5.6992316246032715, 1.2741705179214478, 4.082840919494629, 4.807819366455078, 5.997838973999023, 5.647683620452881, 5.099299430847168, 5.583559036254883, 3.284939765930176, 2.976518089781166e-07]	[9.843701362609863, 3.2254276275634766, 8.970186233520508, 15.531679153442383, 2.431797981262207, 12.473794937133789, 2.3012475967407227, 10.09263801574707, 12.028459548950195, 9.42877197265625, 1.3652372360229492, -0.0]	Victoria cleans one good rug and Liam cleans five exposed . <eos>	[4.989121437072754, 5.622796058654785, 5.6980881690979, 1.269789695739746, 6.547709941864014, 3.4279866218566895, 5.671112060546875, 5.801263809204102, 5.56229305267334, 5.062314033508301, 5.502115249633789, 2.9387149425019743e-07]	[9.835504531860352, 3.2298126220703125, 8.969560623168945, 10.2269868850708, 11.383760452270508, 2.0080089569091797, 12.477630615234375, 2.468721389770508, 10.908912658691406, 11.573688507080078, 2.557042121887207, -0.0]
Heidi has n't left three mothers of and Candice has n't left fewer long mothers of . <eos>	[4.988245964050293, 5.483889579772949, 4.4177350997924805, 4.717983245849609, 4.004818916320801, 5.2769999504089355, 3.5742082595825195, 4.843698501586914, 6.271749496459961, 4.414730548858643, 5.283188343048096, 4.69986629486084, 3.9770090579986572, 2.6994128227233887, 5.587902545928955, 3.1972556114196777, 3.7628791332244873, 2.8914777772115485e-07]	[13.158862113952637, 4.077644348144531, 7.193997383117676, 4.247745513916016, 8.27048397064209, 8.978796005249023, 4.702788352966309, 9.25925064086914, 13.836965560913086, 5.626930236816406, 4.853707313537598, 4.425897598266602, 13.538464546203613, 10.740875244140625, 7.42413330078125, 5.183830261230469, 8.589208602905273, -0.0]	Heidi has n't left three old mothers of and Candice has n't left fewer long . <eos>	[4.987453937530518, 5.484195709228516, 4.418235778808594, 4.715981483459473, 4.0051422119140625, 5.277358055114746, 3.413229465484619, 3.543450117111206, 4.539955139160156, 5.89069938659668, 4.300261497497559, 5.611538887023926, 4.726199150085449, 3.531316041946411, 2.82389497756958, 5.364731788635254, 3.3655800280030235e-07]	[13.157004356384277, 4.073722839355469, 7.198329925537109, 4.251371383666992, 8.26774787902832, 7.034182548522949, 6.18475341796875, 5.221914291381836, 9.053316116333008, 13.572822570800781, 6.928499221801758, 4.530241966247559, 4.320676803588867, 13.721551895141602, 9.517731666564941, 4.331098556518555, -0.0]
Regina 's nephew heals one grandmother of and drivers ' French teacher heals at least as many long grandmother of . <eos>	[4.994604587554932, 5.442568778991699, 7.444388389587402, 3.427922010421753, 3.7063794136047363, 1.7703564167022705, 2.910973072052002, 4.3477983474731445, 6.406312942504883, 4.394895553588867, 6.711845397949219, 6.317774772644043, 4.537722110748291, 3.231126070022583, 3.4559755325317383, 3.7939391136169434, 4.207851886749268, 1.691413402557373, 2.0188074111938477, 5.833341598510742, 5.610586166381836, 2.896525188589294e-07]	[11.89172649383545, 2.450076103210449, 7.870696067810059, 14.212865829467773, 5.635943412780762, 12.633237838745117, 6.422428131103516, 8.190740585327148, 12.903584480285645, 6.22838020324707, 9.617793083190918, 5.663189888000488, 16.14077377319336, 5.003322601318359, 3.7216901779174805, 1.9028892517089844, 3.261652946472168, 10.263504028320312, 16.513694763183594, 6.433399200439453, 6.791836738586426, -0.0]	Regina 's nephew heals one clever grandmother of and drivers ' French teacher heals at least as many long . <eos>	[4.990534782409668, 5.445719242095947, 7.446949005126953, 3.4307212829589844, 3.706665515899658, 1.7716588973999023, 5.261869430541992, 3.211693286895752, 4.585678577423096, 6.298013687133789, 4.74943208694458, 6.830950736999512, 6.010714530944824, 4.3187103271484375, 3.692465305328369, 3.4708738327026367, 3.8182716369628906, 4.255577087402344, 1.7595343589782715, 2.079935312271118, 3.4022812656075985e-07]	[11.887743949890137, 2.4508838653564453, 7.868607044219971, 14.20590591430664, 5.638486862182617, 13.367536544799805, 8.81967830657959, 6.380388259887695, 8.378654479980469, 13.405550003051758, 7.075416564941406, 8.84711742401123, 4.706732749938965, 16.35513687133789, 5.161861419677734, 3.3813295364379883, 1.922210693359375, 3.16806697845459, 10.06113052368164, 5.273139953613281, -0.0]
Some patients ' ex-wife is driving to few art galleries and Richard is driving to many out in the open art galleries . <eos>	[4.988094806671143, 6.329500198364258, 4.681988716125488, 6.748165130615234, 4.654234886169434, 6.203633785247803, 4.14542293548584, 4.641299724578857, 5.930350303649902, 4.700862884521484, 3.19356107711792, 6.8004536628723145, 5.704611301422119, 6.283101558685303, 4.234775543212891, 4.867498397827148, 5.379421234130859, 1.5818257331848145, 4.479652404785156, 6.767737865447998, 4.69033670425415, 4.493250846862793, 3.068279266357422, 2.728327217482729e-07]	[5.215750694274902, 6.496074676513672, 6.354103088378906, 13.541565895080566, 3.938990592956543, 9.611040115356445, 3.155827522277832, 12.192085266113281, 11.242151260375977, 1.3926153182983398, 2.168872833251953, 13.115277290344238, 2.8107452392578125, 7.6514177322387695, 2.505277633666992, 7.141653060913086, 7.8777971267700195, 5.3846025466918945, 0.8586816787719727, 5.988809585571289, 8.488555908203125, 4.087878227233887, 1.0645647048950195, -0.0]	Some patients ' ex-wife is driving to few messy art galleries and Richard is driving to many out in the open . <eos>	[4.989465236663818, 6.332737922668457, 4.681885719299316, 6.747313499450684, 4.653102874755859, 6.203105926513672, 4.145421981811523, 4.639832973480225, 5.929550647735596, 5.339027404785156, 4.187325477600098, 3.1362082958221436, 6.866318702697754, 5.779886722564697, 6.316683769226074, 4.087887287139893, 4.538608551025391, 5.513361930847168, 1.5202081203460693, 4.474961280822754, 6.793412685394287, 4.832908630371094, 2.9165062187530566e-07]	[5.217392921447754, 6.4947919845581055, 6.349857330322266, 13.5471830368042, 3.9386816024780273, 9.611191749572754, 3.1581764221191406, 12.193061828613281, 14.722787857055664, 12.247323036193848, 1.5516300201416016, 2.116487503051758, 13.062742233276367, 3.022052764892578, 7.547453880310059, 2.3281803131103516, 7.436778545379639, 7.734982967376709, 5.477054595947266, 0.888859748840332, 6.034704208374023, 1.7702503204345703, -0.0]
Dennis 's daughters appreciate several dancers and many customers appreciate a few delighted dancers . <eos>	[4.989995956420898, 6.044885158538818, 6.897652626037598, 4.937659740447998, 4.02235221862793, 5.66047477722168, 3.146439552307129, 6.113359451293945, 5.504072666168213, 3.4616146087646484, 3.2326221466064453, 6.726746559143066, 6.307804107666016, 5.572908878326416, 3.10587215423584, 2.7148283265887585e-07]	[9.908048629760742, 3.9240198135375977, 7.786855220794678, 13.068675994873047, 7.980804443359375, 9.715316772460938, 1.5890216827392578, 4.91011905670166, 8.93489933013916, 9.787422180175781, 5.293307304382324, 4.569859504699707, 11.289812088012695, 4.702292442321777, 1.0829010009765625, -0.0]	Dennis 's daughters appreciate several unconvinced dancers and many customers appreciate a few delighted . <eos>	[4.987994194030762, 6.050577640533447, 6.897890090942383, 4.937238693237305, 4.023290634155273, 5.660549163818359, 3.847062826156616, 3.154829502105713, 6.503827095031738, 5.066525459289551, 4.709530830383301, 3.2516238689422607, 6.946999549865723, 6.360306739807129, 5.917771339416504, 2.870309856461972e-07]	[9.913804054260254, 3.9254045486450195, 7.783498287200928, 13.070531845092773, 7.978230953216553, 15.624979972839355, 11.135038375854492, 1.7819766998291016, 5.130612373352051, 8.11401653289795, 8.412891387939453, 5.262365341186523, 4.5957841873168945, 11.33380126953125, 5.717013359069824, -0.0]
Diana 's handymen arrive at several lakes and the Clintons arrive at a few black lakes . <eos>	[4.989072799682617, 5.289474964141846, 6.8070268630981445, 6.737161636352539, 2.602308750152588, 3.5579376220703125, 6.671581268310547, 2.9418082237243652, 6.734139919281006, 7.353102684020996, 6.503111362457275, 3.2039918899536133, 3.193864583969116, 6.580507278442383, 4.78743839263916, 5.385277271270752, 3.0264739990234375, 2.6997855684385286e-07]	[10.60307788848877, 2.6670007705688477, 3.6673507690429688, 9.780048370361328, 0.7419376373291016, 7.620118141174316, 6.058396339416504, 1.6359920501708984, 3.5160446166992188, 2.913203239440918, 7.2703070640563965, 1.3371524810791016, 2.3952808380126953, 6.029932022094727, 10.219768524169922, 3.6907291412353516, 1.5236549377441406, -0.0]	Diana 's handymen arrive at several orange lakes and the Clintons arrive at a few black . <eos>	[4.992011070251465, 5.287957668304443, 6.8048906326293945, 6.736629962921143, 2.602769613265991, 3.5581002235412598, 6.669445037841797, 4.631802558898926, 3.022780418395996, 6.730335712432861, 7.649203300476074, 6.691897392272949, 3.1615347862243652, 3.179738998413086, 6.491644859313965, 4.834897518157959, 5.74637508392334, 2.8757281711477845e-07]	[10.60812759399414, 2.670562744140625, 3.670321464538574, 9.778972625732422, 0.7422199249267578, 7.621170997619629, 11.645259857177734, 5.545642852783203, 1.8599166870117188, 2.8591794967651367, 2.6937484741210938, 7.8337273597717285, 1.3355865478515625, 2.2471513748168945, 6.586675643920898, 9.554291725158691, 6.102835655212402, -0.0]
